date,amount,currency,category,note
2026-01-20,139.42,CAD,Grocery,COSTCO WHOLESALE W1211 OTTAWA ON [RBC3306/20260219]
2026-01-20,35.55,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260219]
2026-01-20,43.65,CAD,Dining,UBER CANADA/UBEREATS TORONTO ON [RBC3306/20260219]
2026-01-22,10.99,CAD,Subscription,AMAZON PRIME MEMBER AMAZON.CA [RBC3306/20260219]
2026-01-22,13.83,CAD,Dining,SUBWAY 40112 OTTAWA ON [RBC3306/20260219]
2026-01-23,53.83,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260219]
2026-01-24,47.45,CAD,Grocery,LOBLAWS 1234 OTTAWA ON [RBC3306/20260219]
2026-01-24,28.56,CAD,Dining,UBER CANADA/UBEREATS TORONTO ON [RBC3306/20260219]
2026-01-25,30.48,CAD,Shopping,SHOPPERS DRUG MART 0781 OTTAWA ON [RBC3306/20260219]
2026-01-26,135.00,CAD,Transport,OC TRANSPO MONTHLY PASS OTTAWA ON [RBC3306/20260219]
2026-01-28,44.67,CAD,Shopping,SHOPPERS DRUG MART 0781 OTTAWA ON [RBC3306/20260219]
2026-01-31,35.04,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260219]
2026-01-31,7.30,CAD,Dining,STARBUCKS 1100 OTTAWA ON [RBC3306/20260219]
2026-02-01,32.99,CAD,Subscription,GOODLIFE FITNESS TORONTO ON [RBC3306/20260219]
2026-02-01,6.95,CAD,Dining,STARBUCKS 1100 OTTAWA ON [RBC3306/20260219]
2026-02-02,16.57,CAD,Shopping,AMZN MKTP CA [RBC3306/20260219]
2026-02-02,18.99,CAD,Dining,THAI EXPRESS OTTAWA ON [RBC3306/20260219]
2026-02-03,30.82,CAD,Shopping,SHOPPERS DRUG MART 0781 OTTAWA ON [RBC3306/20260219]
2026-02-04,11.29,CAD,Subscription,SPOTIFY SPOTIFY.COM [RBC3306/20260219]
2026-02-04,7.55,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260219]
2026-02-04,27.47,CAD,Dining,UBER CANADA/UBEREATS TORONTO ON [RBC3306/20260219]
2026-02-05,36.19,CAD,Shopping,SHOPPERS DRUG MART 0781 OTTAWA ON [RBC3306/20260219]
2026-02-06,102.49,CAD,Grocery,COSTCO WHOLESALE W1211 OTTAWA ON [RBC3306/20260219]
2026-02-06,52.98,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260219]
2026-02-10,20.11,CAD,Grocery,FARM BOY #17 OTTAWA ON (debit) [RBC7740/20260225]
2026-02-10,20.09,CAD,Grocery,FARM BOY #17 OTTAWA ON (debit) [RBC7740/20260225]
2026-02-10,45.20,CAD,Subscription,KOODO MOBILE [RBC3306/20260219]
2026-02-10,8.57,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260219]
2026-02-11,73.58,CAD,Shopping,AMAZON.CA AMAZON.CA [RBC3306/20260219]
2026-02-11,12.41,CAD,Dining,SUBWAY 40112 OTTAWA ON [RBC3306/20260219]
2026-02-12,6.35,CAD,Shopping,DOLLARAMA #1052 OTTAWA ON [RBC3306/20260219]
2026-02-12,83.28,CAD,Grocery,LOBLAWS 1234 OTTAWA ON [RBC3306/20260219]
2026-02-12,18.99,CAD,Subscription,NETFLIX.COM NETFLIX.COM [RBC3306/20260219]
2026-02-13,25.37,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260219]
2026-02-16,3.99,CAD,Subscription,APPLE.COM/BILL TORONTO ON [RBC3306/20260219]
2026-02-18,30.20,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260219]
2026-02-18,25.39,CAD,Dining,UBER CANADA/UBEREATS TORONTO ON [RBC3306/20260219]
2026-02-20,18.25,CAD,Other,CANADA POST OTTAWA ON [RBC3306/20260319]
2026-02-22,10.99,CAD,Subscription,AMAZON PRIME MEMBER AMAZON.CA [RBC3306/20260319]
2026-02-22,3.87,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260319]
2026-02-24,34.67,CAD,Grocery,METRO 456 OTTAWA ON [RBC3306/20260319]
2026-02-26,135.00,CAD,Transport,OC TRANSPO MONTHLY PASS OTTAWA ON [RBC3306/20260319]
2026-02-26,59.81,CAD,Shopping,WINNERS 3215 OTTAWA ON [RBC3306/20260319]
2026-02-28,106.70,CAD,Grocery,LOBLAWS 1234 OTTAWA ON [RBC3306/20260319]
2026-02-28,14.47,CAD,Transport,UBER CANADA/UBERTRIP TORONTO ON [RBC3306/20260319]
2026-03-01,34.07,CAD,Shopping,AMZN MKTP CA [RBC3306/20260319]
2026-03-01,32.99,CAD,Subscription,GOODLIFE FITNESS TORONTO ON [RBC3306/20260319]
2026-03-03,24.46,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260319]
2026-03-03,5.48,CAD,Dining,STARBUCKS 1100 OTTAWA ON [RBC3306/20260319]
2026-03-04,47.44,CAD,Grocery,LOBLAWS 1234 OTTAWA ON [RBC3306/20260319]
2026-03-04,11.29,CAD,Subscription,SPOTIFY SPOTIFY.COM [RBC3306/20260319]
2026-03-04,5.25,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260319]
2026-03-05,28.58,CAD,Entertainment,CINEPLEX 7620 OTTAWA ON [RBC3306/20260319]
2026-03-05,34.02,CAD,Shopping,SHOPPERS DRUG MART 0781 OTTAWA ON [RBC3306/20260319]
2026-03-05,28.57,CAD,Entertainment,STEAM PURCHASE SEATTLE WA [RBC3306/20260319]
2026-03-06,29.42,CAD,Shopping,AMAZON.CA AMAZON.CA [RBC3306/20260319]
2026-03-06,38.52,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260319]
2026-03-08,12.12,CAD,Dining,SUBWAY 40112 OTTAWA ON [RBC3306/20260319]
2026-03-08,7.43,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260319]
2026-03-10,45.20,CAD,Subscription,KOODO MOBILE [RBC3306/20260319]
2026-03-12,86.59,CAD,Grocery,LOBLAWS 1234 OTTAWA ON [RBC3306/20260319]
2026-03-12,18.99,CAD,Subscription,NETFLIX.COM NETFLIX.COM [RBC3306/20260319]
2026-03-15,18.21,CAD,Grocery,FARM BOY #17 OTTAWA ON (debit) [RBC7740/20260325]
2026-03-15,33.18,CAD,Dining,UBER CANADA/UBEREATS TORONTO ON [RBC3306/20260319]
2026-03-16,3.99,CAD,Subscription,APPLE.COM/BILL TORONTO ON [RBC3306/20260319]
2026-03-16,46.61,CAD,Grocery,METRO 456 OTTAWA ON [RBC3306/20260319]
2026-03-16,16.65,CAD,Dining,THAI EXPRESS OTTAWA ON [RBC3306/20260319]
2026-03-20,21.09,CAD,Grocery,FARM BOY #17 OTTAWA ON (debit) [RBC7740/20260325]
2026-03-20,20.36,CAD,Transport,UBER CANADA/UBERTRIP TORONTO ON [RBC3306/20260419]
2026-03-21,7.42,CAD,Shopping,DOLLARAMA #1052 OTTAWA ON [RBC3306/20260419]
2026-03-21,5.76,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260419]
2026-03-22,10.99,CAD,Subscription,AMAZON PRIME MEMBER AMAZON.CA [RBC3306/20260419]
2026-03-24,163.16,CAD,Grocery,COSTCO WHOLESALE W1211 OTTAWA ON [RBC3306/20260419]
2026-03-25,24.60,CAD,Shopping,SHOPPERS DRUG MART 0781 OTTAWA ON (debit) [BMO4471/20260405]
2026-03-26,49.16,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260419]
2026-03-26,135.00,CAD,Transport,OC TRANSPO MONTHLY PASS OTTAWA ON [RBC3306/20260419]
2026-03-29,50.60,CAD,Shopping,CANADIAN TIRE #030 OTTAWA ON [RBC3306/20260419]
2026-03-29,46.79,CAD,Dining,UBER CANADA/UBEREATS TORONTO ON [RBC3306/20260419]
2026-03-31,10.43,CAD,Shopping,SHOPPERS DRUG MART 0781 OTTAWA ON [RBC3306/20260419]
2026-04-01,108.15,CAD,Grocery,COSTCO WHOLESALE W1211 OTTAWA ON [RBC3306/20260419]
2026-04-01,32.99,CAD,Subscription,GOODLIFE FITNESS TORONTO ON [RBC3306/20260419]
2026-04-02,52.72,CAD,Shopping,AMAZON.CA AMAZON.CA [RBC3306/20260419]
2026-04-03,81.42,CAD,Grocery,LOBLAWS 1234 OTTAWA ON [RBC3306/20260419]
2026-04-03,4.73,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260419]
2026-04-04,11.29,CAD,Subscription,SPOTIFY SPOTIFY.COM [RBC3306/20260419]
2026-04-05,4.50,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260419]
2026-04-09,34.37,CAD,Grocery,METRO 456 OTTAWA ON [RBC3306/20260419]
2026-04-10,45.20,CAD,Subscription,KOODO MOBILE [RBC3306/20260419]
2026-04-10,14.69,CAD,Dining,THAI EXPRESS OTTAWA ON [RBC3306/20260419]
2026-04-10,51.17,CAD,Shopping,WINNERS 3215 OTTAWA ON [RBC3306/20260419]
2026-04-11,33.69,CAD,Shopping,SHOPPERS DRUG MART 0781 OTTAWA ON [RBC3306/20260419]
2026-04-12,107.26,CAD,Grocery,LOBLAWS 1234 OTTAWA ON [RBC3306/20260419]
2026-04-12,18.99,CAD,Subscription,NETFLIX.COM NETFLIX.COM [RBC3306/20260419]
2026-04-12,5.31,CAD,Dining,STARBUCKS 1100 OTTAWA ON [RBC3306/20260419]
2026-04-13,23.88,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260419]
2026-04-13,10.69,CAD,Shopping,SHOPPERS DRUG MART 0781 OTTAWA ON [RBC3306/20260419]
2026-04-14,14.01,CAD,Shopping,AMZN MKTP CA [RBC3306/20260419]
2026-04-15,13.32,CAD,Shopping,DOLLARAMA #1052 OTTAWA ON [RBC3306/20260419]
2026-04-15,21.43,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260419]
2026-04-15,23.36,CAD,Dining,UBER CANADA/UBEREATS TORONTO ON [RBC3306/20260419]
2026-04-16,3.99,CAD,Subscription,APPLE.COM/BILL TORONTO ON [RBC3306/20260419]
2026-04-16,38.23,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260419]
2026-04-16,11.71,CAD,Grocery,FARM BOY #17 OTTAWA ON (debit) [RBC7740/20260425]
2026-04-17,35.58,CAD,Dining,UBER CANADA/UBEREATS TORONTO ON [RBC3306/20260419]
2026-04-18,19.51,CAD,Shopping,CANADIAN TIRE #030 OTTAWA ON [RBC3306/20260419]
2026-04-19,27.44,CAD,Entertainment,CINEPLEX 7620 OTTAWA ON [RBC3306/20260419]
2026-04-21,10.70,CAD,Grocery,FARM BOY #17 OTTAWA ON (debit) [RBC7740/20260425]
2026-04-22,10.99,CAD,Subscription,AMAZON PRIME MEMBER AMAZON.CA [RBC3306/20260519]
2026-04-25,186.40,CAD,Shopping,IKEA OTTAWA ON [BMO5518/20260520]
2026-04-25,27.30,CAD,Entertainment,STEAM PURCHASE SEATTLE WA [RBC3306/20260519]
2026-04-26,135.00,CAD,Transport,OC TRANSPO MONTHLY PASS OTTAWA ON [RBC3306/20260519]
2026-04-27,19.52,CAD,Transport,UBER CANADA/UBERTRIP TORONTO ON [RBC3306/20260519]
2026-04-29,5.44,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260519]
2026-04-30,13.76,CAD,Dining,SUBWAY 40112 OTTAWA ON [BMO5518/20260520]
2026-05-01,32.99,CAD,Subscription,GOODLIFE FITNESS TORONTO ON [RBC3306/20260519]
2026-05-02,57.53,CAD,Shopping,AMAZON.CA AMAZON.CA [RBC3306/20260519]
2026-05-02,29.70,CAD,Shopping,SHOPPERS DRUG MART 0781 OTTAWA ON [RBC3306/20260519]
2026-05-02,16.55,CAD,Dining,THAI EXPRESS OTTAWA ON [RBC3306/20260519]
2026-05-03,12.00,CAD,Shopping,DOLLARAMA #1052 OTTAWA ON [RBC3306/20260519]
2026-05-04,47.86,CAD,Grocery,LOBLAWS 1234 OTTAWA ON [RBC3306/20260519]
2026-05-04,11.29,CAD,Subscription,SPOTIFY SPOTIFY.COM [RBC3306/20260519]
2026-05-06,93.56,CAD,Grocery,LOBLAWS 1234 OTTAWA ON [RBC3306/20260519]
2026-05-06,6.11,CAD,Dining,STARBUCKS 1100 OTTAWA ON [RBC3306/20260519]
2026-05-08,12.76,CAD,Dining,SUBWAY 40112 OTTAWA ON [RBC3306/20260519]
2026-05-10,45.20,CAD,Subscription,KOODO MOBILE [RBC3306/20260519]
2026-05-11,28.93,CAD,Dining,UBER CANADA/UBEREATS TORONTO ON [RBC3306/20260519]
2026-05-12,18.99,CAD,Subscription,NETFLIX.COM NETFLIX.COM [RBC3306/20260519]
2026-05-14,10.42,CAD,Grocery,FARM BOY #17 OTTAWA ON (debit) [RBC7740/20260525]
2026-05-16,3.99,CAD,Subscription,APPLE.COM/BILL TORONTO ON [RBC3306/20260519]
2026-05-17,33.28,CAD,Shopping,AMZN MKTP CA [RBC3306/20260519]
2026-05-17,110.83,CAD,Grocery,COSTCO WHOLESALE W1211 OTTAWA ON [RBC3306/20260519]
2026-05-18,89.09,CAD,Shopping,WINNERS 3215 OTTAWA ON [BMO5518/20260520]
2026-05-19,14.16,CAD,Shopping,SHOPPERS DRUG MART 0781 OTTAWA ON [BMO5518/20260520]
2026-05-19,35.55,CAD,Entertainment,STEAM PURCHASE SEATTLE WA [RBC3306/20260519]
2026-05-20,41.80,CAD,Dining,UBER CANADA/UBEREATS TORONTO ON [RBC3306/20260619]
2026-05-21,7.61,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260619]
2026-05-22,10.99,CAD,Subscription,AMAZON PRIME MEMBER AMAZON.CA [RBC3306/20260619]
2026-05-23,37.00,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260619]
2026-05-23,8.54,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260619]
2026-05-23,6.52,CAD,Dining,TIM HORTONS #2231 OTTAWA ON (debit) [RBC7740/20260525]
2026-05-25,54.69,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260619]
2026-05-25,6.94,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260619]
2026-05-26,135.00,CAD,Transport,OC TRANSPO MONTHLY PASS OTTAWA ON [RBC3306/20260619]
2026-05-29,30.24,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260619]
2026-05-31,55.75,CAD,Grocery,METRO 456 OTTAWA ON [RBC3306/20260619]
2026-05-31,12.66,CAD,Transport,UBER CANADA/UBERTRIP TORONTO ON [BMO5518/20260620]
2026-06-01,42.53,CAD,Grocery,FARM BOY #17 OTTAWA ON [BMO5518/20260620]
2026-06-01,32.99,CAD,Subscription,GOODLIFE FITNESS TORONTO ON [RBC3306/20260619]
2026-06-03,16.18,CAD,Transport,UBER CANADA/UBERTRIP TORONTO ON [RBC3306/20260619]
2026-06-04,17.60,CAD,Entertainment,CINEPLEX 7620 OTTAWA ON [RBC3306/20260619]
2026-06-04,11.29,CAD,Subscription,SPOTIFY SPOTIFY.COM [RBC3306/20260619]
2026-06-04,4.57,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260619]
2026-06-05,139.74,CAD,Grocery,COSTCO WHOLESALE W1211 OTTAWA ON [RBC3306/20260619]
2026-06-06,74.40,CAD,Grocery,LOBLAWS 1234 OTTAWA ON [RBC3306/20260619]
2026-06-06,58.47,CAD,Grocery,METRO 456 OTTAWA ON [RBC3306/20260619]
2026-06-06,5.53,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260619]
2026-06-08,32.04,CAD,Shopping,AMZN MKTP CA [BMO5518/20260620]
2026-06-08,24.66,CAD,Grocery,FARM BOY #17 OTTAWA ON [BMO5518/20260620]
2026-06-09,62.75,CAD,Grocery,LOBLAWS 1234 OTTAWA ON [RBC3306/20260619]
2026-06-10,45.20,CAD,Subscription,KOODO MOBILE [RBC3306/20260619]
2026-06-11,33.43,CAD,Shopping,AMAZON.CA AMAZON.CA [RBC3306/20260619]
2026-06-12,18.99,CAD,Subscription,NETFLIX.COM NETFLIX.COM [RBC3306/20260619]
2026-06-12,20.37,CAD,Shopping,SHOPPERS DRUG MART 0781 OTTAWA ON [BMO5518/20260620]
2026-06-12,7.45,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260619]
2026-06-12,5.40,CAD,Dining,TIM HORTONS #2231 OTTAWA ON (debit) [RBC7740/20260625]
2026-06-14,429.99,CAD,Shopping,BEST BUY #957 OTTAWA ON [RBC3306/20260619]
2026-06-15,11.33,CAD,Entertainment,STEAM PURCHASE SEATTLE WA [RBC3306/20260619]
2026-06-16,3.99,CAD,Subscription,APPLE.COM/BILL TORONTO ON [RBC3306/20260619]
2026-06-17,19.97,CAD,Shopping,CANADIAN TIRE #030 OTTAWA ON [RBC3306/20260619]
2026-06-19,33.81,CAD,Grocery,FARM BOY #17 OTTAWA ON [BMO5518/20260620]
2026-06-20,14.80,CAD,Dining,THAI EXPRESS OTTAWA ON [RBC3306/20260719]
2026-06-21,12.75,CAD,Shopping,DOLLARAMA #1052 OTTAWA ON [RBC3306/20260719]
2026-06-21,13.32,CAD,Dining,SUBWAY 40112 OTTAWA ON [BMO5518/20260720]
2026-06-22,10.99,CAD,Subscription,AMAZON PRIME MEMBER AMAZON.CA [RBC3306/20260719]
2026-06-22,16.99,CAD,Shopping,SHOPPERS DRUG MART 0781 OTTAWA ON [BMO5518/20260720]
2026-06-24,6.51,CAD,Dining,TIM HORTONS #2231 OTTAWA ON (debit) [RBC7740/20260625]
2026-06-25,6.24,CAD,Dining,STARBUCKS 1100 OTTAWA ON [RBC3306/20260719]
2026-06-26,135.00,CAD,Transport,OC TRANSPO MONTHLY PASS OTTAWA ON [RBC3306/20260719]
2026-06-29,22.27,CAD,Dining,UBER CANADA/UBEREATS TORONTO ON [BMO5518/20260720]
2026-06-30,32.23,CAD,Dining,UBER CANADA/UBEREATS TORONTO ON [BMO5518/20260720]
2026-07-01,32.99,CAD,Subscription,GOODLIFE FITNESS TORONTO ON [RBC3306/20260719]
2026-07-02,13.15,CAD,Dining,SUBWAY 40112 OTTAWA ON [RBC3306/20260719]
2026-07-03,4.66,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260719]
2026-07-04,11.29,CAD,Subscription,SPOTIFY SPOTIFY.COM [RBC3306/20260719]
2026-07-04,7.39,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260719]
2026-07-05,47.83,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260719]
2026-07-06,39.98,CAD,Shopping,AMZN MKTP CA [RBC3306/20260719]
2026-07-09,37.48,CAD,Dining,UBER CANADA/UBEREATS TORONTO ON [RBC3306/20260719]
2026-07-10,45.20,CAD,Subscription,KOODO MOBILE [RBC3306/20260719]
2026-07-11,4.59,CAD,Dining,TIM HORTONS #2231 OTTAWA ON (debit) [RBC7740/20260725]
2026-07-12,83.43,CAD,Grocery,LOBLAWS 1234 OTTAWA ON [RBC3306/20260719]
2026-07-12,18.99,CAD,Subscription,NETFLIX.COM NETFLIX.COM [RBC3306/20260719]
2026-07-12,6.02,CAD,Dining,TIM HORTONS #2231 OTTAWA ON (debit) [RBC7740/20260725]
2026-07-13,42.27,CAD,Grocery,METRO 456 OTTAWA ON [RBC3306/20260719]
2026-07-13,13.76,CAD,Shopping,SHOPPERS DRUG MART 0781 OTTAWA ON [RBC3306/20260719]
2026-07-13,27.37,CAD,Transport,UBER CANADA/UBERTRIP TORONTO ON [BMO5518/20260720]
2026-07-14,5.80,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260719]
2026-07-16,3.99,CAD,Subscription,APPLE.COM/BILL TORONTO ON [RBC3306/20260719]
2026-07-18,92.50,CAD,Entertainment,TICKETMASTER CANADA TORONTO ON [RBC3306/20260719]
2026-07-20,7.45,CAD,Shopping,DOLLARAMA #1052 OTTAWA ON [RBC3306/20260819]
2026-07-20,29.43,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260819]
2026-07-20,48.33,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260819]
2026-07-22,10.99,CAD,Subscription,AMAZON PRIME MEMBER AMAZON.CA [RBC3306/20260819]
2026-07-22,29.64,CAD,Entertainment,CINEPLEX 7620 OTTAWA ON [RBC3306/20260819]
2026-07-22,16.77,CAD,Shopping,SHOPPERS DRUG MART 0781 OTTAWA ON [RBC3306/20260819]
2026-07-24,7.52,CAD,Dining,STARBUCKS 1100 OTTAWA ON [RBC3306/20260819]
2026-07-26,68.63,CAD,Grocery,LOBLAWS 1234 OTTAWA ON [RBC3306/20260819]
2026-07-26,135.00,CAD,Transport,OC TRANSPO MONTHLY PASS OTTAWA ON [RBC3306/20260819]
2026-07-28,139.96,CAD,Grocery,COSTCO WHOLESALE W1211 OTTAWA ON [RBC3306/20260819]
2026-07-28,18.78,CAD,Dining,THAI EXPRESS OTTAWA ON [BMO5518/20260820]
2026-07-28,43.10,CAD,Dining,UBER CANADA/UBEREATS TORONTO ON [BMO5518/20260820]
2026-07-29,76.75,CAD,Shopping,AMAZON.CA AMAZON.CA [RBC3306/20260819]
2026-08-01,32.99,CAD,Subscription,GOODLIFE FITNESS TORONTO ON [RBC3306/20260819]
2026-08-02,38.83,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260819]
2026-08-04,11.29,CAD,Subscription,SPOTIFY SPOTIFY.COM [RBC3306/20260819]
2026-08-06,6.65,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260819]
2026-08-09,5.67,CAD,Dining,TIM HORTONS #2231 OTTAWA ON (debit) [RBC7740/20260825]
2026-08-10,45.20,CAD,Subscription,KOODO MOBILE [RBC3306/20260819]
2026-08-10,6.35,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260819]
2026-08-10,38.09,CAD,Dining,UBER CANADA/UBEREATS TORONTO ON [BMO5518/20260820]
2026-08-12,18.99,CAD,Subscription,NETFLIX.COM NETFLIX.COM [RBC3306/20260819]
2026-08-12,14.17,CAD,Dining,SUBWAY 40112 OTTAWA ON [RBC3306/20260819]
2026-08-12,8.84,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260819]
2026-08-13,23.18,CAD,Grocery,FARM BOY #17 OTTAWA ON [BMO5518/20260820]
2026-08-16,3.99,CAD,Subscription,APPLE.COM/BILL TORONTO ON [RBC3306/20260819]
2026-08-17,30.28,CAD,Dining,UBER CANADA/UBEREATS TORONTO ON [BMO5518/20260820]
2026-08-18,65.04,CAD,Grocery,LOBLAWS 1234 OTTAWA ON [RBC3306/20260819]
2026-08-19,7.07,CAD,Dining,STARBUCKS 1100 OTTAWA ON [RBC3306/20260819]
2026-08-19,5.28,CAD,Dining,TIM HORTONS #2231 OTTAWA ON (debit) [RBC7740/20260825]
2026-08-19,33.10,CAD,Shopping,WINNERS 3215 OTTAWA ON [RBC3306/20260819]
